city_type,date,state,district,pincode,enrol_age_0_5,enrol_age_5_17,enrol_age_18_greater,demo_demo_age_5_17,demo_demo_age_17_,bio_bio_age_5_17,bio_bio_age_17_
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Budgam,191113,0.0,0.0,0.0,215.0,368.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Ganderbal,191131,0.0,0.0,0.0,96.0,606.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Ganderbal,191202,0.0,0.0,0.0,64.0,322.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Pulwama,192121,0.0,0.0,0.0,27.0,219.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Anantnag,192124,0.0,0.0,0.0,61.0,448.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Anantnag,192201,0.0,0.0,0.0,111.0,556.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Anantnag,192211,0.0,0.0,0.0,75.0,340.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Kulgam,192232,0.0,0.0,0.0,43.0,184.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Pulwama,192301,0.0,0.0,0.0,217.0,1124.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Baramula,193121,0.0,0.0,0.0,84.0,738.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Baramula,193123,0.0,0.0,0.0,86.0,478.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Kupwara,193224,0.0,0.0,0.0,698.0,3103.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Kupwara,193225,0.0,0.0,0.0,103.0,554.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Kupwara,193302,0.0,0.0,0.0,180.0,852.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Budgam,193411,0.0,0.0,0.0,296.0,566.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Bandipore,193502,0.0,0.0,0.0,190.0,1414.0,0.0,0.0
Metropolitan,2025-04-01,Uttar Pradesh,Ghaziabad,201001,0.0,0.0,0.0,521.0,4047.0,0.0,0.0
Metropolitan,2025-04-01,Uttar Pradesh,Ghaziabad,201009,0.0,0.0,0.0,316.0,2324.0,0.0,0.0
Metropolitan,2025-04-01,Uttar Pradesh,Ghaziabad,201102,0.0,0.0,0.0,524.0,5709.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttar Pradesh,Gautam Buddha Nagar,201304,0.0,0.0,0.0,172.0,1442.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttar Pradesh,Gautam Buddha Nagar,201306,0.0,0.0,0.0,359.0,2953.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttar Pradesh,Aligarh,202001,0.0,0.0,0.0,977.0,9397.0,0.0,0.0
